Restaurant Name,Restaurant Average Rating
360 Bistro,4.2
Anjelica's Restaurant,4.5
Arethusa al Tavolo,4.7
Artisan,4.7
Bistro Aracosia,4.7
Bites & Bubbles,4.25
Blue Ridge Grill,4.45
Bonnell's Fine Texas Cuisine,4.7
Bouchard Restaurant and Inn,4.7
Buccan,4.65
Café Ba-Ba-Reeba,4.4
Cafe Monarch,4.7
Cafe Provence,4.7
CDM Restaurant,4.65
Cesarina,4.45
Dominick's Steakhouse,4.7
Eddie V's - Orlando,4.65
Elia Authentic Greek Taverna,4.7
Fat Canary,4.65
Filomena Ristorante,4.4
Flight Restaurant & Wine Bar,4.7
Geronimo,4.75
GW Fins,4.7
Hannas Prime Steak,4.65
House of Prime Rib,4.4
"Joe's Seafood, Prime Steak & Stone Crab - Las Vegas",4.65
Kokkari Estiatorio,4.7
La Bistecca Italian Grille,4.45
La Nouvelle Maison,4.65
Lahaina Grill,4.7
Le Colonial - Chicago,4.4
Le Diplomate,4.65
Le Yaca - Virginia Beach,4.7
Llama Restaurant,4.7
M Sushi,4.7
Majorelle,4.65
Mama's Fish House,4.7
Mamma Maria,4.4
Mot Hai Ba - Lakewood,4.45
O-Ku - Nashville,4.7
Ocean 44,4.7
Ocean Prime - Tampa,4.65
Our Mom Eugenia - Great Falls,4.65
Parc,4.4
Paris 7th,4.45
Pepp & Dolores,4.7
Portosole,4.6
Red Ash Italia,4.7
Riccardo Enoteca,4.45
RL Restaurant,4.45
Rose Mary,4.65
Rosina's Italian Restaurant,4.6
Rosmarino Osteria Italiana,5.0
Ruth's Chris Steak House - Baton Rouge,4.75
Saloon Restaurant,4.7
Salt,3.9
Satchel's on 6th,4.4
Savour,4.95
Sergio's Ristorante,4.7
South of Nick's - Laguna Beach,4.65
State of Grace,4.7
Steak 44,4.7
Steak 48 - Houston,4.7
Terzo,4.4
The Boathouse,4.6
The Dock,4.75
The Grand Tavern,4.7
The House of William & Merry,4.7
The Metro Wine Bar & Bistro,4.7
The Original Spence Cafe,4.65
The Stables,4.65
Truluck's - Ocean's Finest Seafood & Crab - Naples,4.65
TwentyTwenty Grille,4.5
Uchiko Austin,4.7
Vargas Cut & Catch,4.7
Washington Inn,4.65
West Rose,4.65
Wildflower - Denver,4.7
